MG - REDE DOM PEDRO DE POSTOS LTDA                                                                                                                         02/06/2026 09:49;;;;;;;;;;;
MEDIÇÃO DE TANQUE POR PERÍODO;;;;;;;;;;;
Período: 01/05/2026 a 31/05/2026;;;;;;;;;;;
Depósitos: ATIVOS;;;;;;;;;;;
Modo: ANALÍTICO;;;;;;;;;;;
Agrupar: COMBUSTÍVEL;;;;;;;;;;;
Exibir: SOMENTE COM ESTOQUE;;;;;;;;;;;
Empresa: 2 - MG S - REDE DOM PEDRO DE POSTOS LTDA (DP 1);;;;;;;;;;;
Combustível: 1 - DIESEL COMUM;Tanques vinculados: 388 - 387;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;10251;10000;20251;0;18553;1764,717;1698;66,7;66,7;3,8
2026-05-02;0;18553;200;18753;0;16834;1914,19;1919;-4,8;61,9;1,7
2026-05-03;0;16834;0;16834;0;14185;2579,983;2649;-69;-7,1;-0,1
2026-05-04;0;14185;10000;24185;0;19798;4322,56;4387;-64,4;-71,5;0
2026-05-05;0;19798;0;19798;0;16208;3590,91;3590;0,9;-70,6;0
2026-05-06;0;16208;7000;23208;0;19798;3385,922;3410;-24,1;-94,7;-0,5
2026-05-07;0;19798;0;19798;0;14339;5468,423;5459;9,4;-85,3;-0,4
2026-05-08;0;14339;5000;19339;0;15740;3660,544;3599;61,5;-23,8;-0,1
2026-05-09;0;15740;0;15740;0;12953;2780,819;2787;-6,2;-30;0
2026-05-10;0;12953;5000;17953;0;15584;2440,418;2369;71,4;41,4;0,1
2026-05-11;0;15584;9000;24584;0;21794;2822,536;2790;32,5;73,9;0
2026-05-12;0;21794;0;21794;0;18241;3473,997;3553;-79;-5,1;0
2026-05-13;0;18241;8000;26241;0;22998;3220,675;3243;-22,3;-27,4;-0,1
2026-05-14;0;22998;0;22998;0;17929;5053,08;5069;-15,9;-43,3;-0,1
2026-05-15;0;17929;0;17929;0;14030;3885,292;3899;-13,7;-57;-0,1
2026-05-16;0;14030;10000;24030;0;19953;4013,687;4077;-63,3;-120,3;0
2026-05-17;0;19953;0;19953;0;16834;3133,668;3119;14,7;-105,6;0
2026-05-18;0;16834;0;16834;0;13567;3220,541;3267;-46,5;-152,1;-0,3
2026-05-19;0;13567;10000;23567;0;20416;3164,544;3151;13,5;-138,6;0
2026-05-20;0;20416;0;20416;0;14495;5834,633;5921;-86,4;-225;0
2026-05-21;0;14495;9400;23895;0;17616;6250,817;6279;-28,2;-253,2;-0,3
2026-05-22;0;17616;9000;26616;0;22399;4294,867;4217;77,9;-175,3;0
2026-05-23;0;22399;0;22399;0;19487;2968,7;2912;56,7;-118,6;0
2026-05-24;0;19487;0;19487;0;18241;1301,629;1246;55,6;-63;-0,1
2026-05-25;0;18241;0;18241;0;13567;4706,649;4674;32,6;-30,4;0
2026-05-26;0;13567;8000;21567;0;17929;3619,31;3638;-18,7;-49,1;0
2026-05-27;0;17929;0;17929;0;15428;2512,214;2501;11,2;-37,9;0
2026-05-28;0;15428;0;15428;0;13721;1662,886;1707;-44,1;-82;-0,1
2026-05-29;0;13721;5000;18721;0;15896;2822,316;2825;-2,7;-84,7;0
2026-05-30;0;15896;10000;25896;0;25327;689,948;569;120,9;36,2;0
2026-05-31;0;25327;0;25327;0;24468;761,799;859;-97,2;-61;-0,1
Total acumulado combustível;101322,274;101383;-61;-1932,5;3,3;;;;;;
Combustível: 2 - GASOLINA COMUM;Tanques vinculados: 391;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;5308;5000;10308;0;8480;1841,729;1828;13,7;13,7;0,7
2026-05-02;0;8480;5000;13480;0;12217;1258,181;1263;-4,8;8,9;0,3
2026-05-03;0;12217;0;12217;0;8480;3678,126;3737;-58,9;-50;-0,7
2026-05-04;0;8480;5000;13480;0;11509;1960,009;1971;-11;-61;-0,7
2026-05-05;0;11509;0;11509;0;10175;1343,689;1334;9,7;-51,3;-0,5
2026-05-06;0;10175;0;10175;0;8714;1466,306;1461;5,3;-46;-0,4
2026-05-07;0;8714;0;8714;0;7466;1326,336;1248;78,3;32,3;0,3
2026-05-08;0;7466;5000;12466;0;10175;2229,565;2291;-61,4;-29,1;-0,2
2026-05-09;0;10175;0;10175;0;8558;1596,98;1617;-20;-49,1;-0,3
2026-05-10;0;8558;5000;13558;0;11937;1576,726;1621;-44,3;-93,4;-0,5
2026-05-11;0;11937;0;11937;0;9947;2028,639;1990;38,6;-54,8;-0,3
2026-05-12;0;9947;0;9947;0;8090;1858,273;1857;1,3;-53,5;-0,2
2026-05-13;0;8090;0;8090;0;6765;1354,003;1325;29;-24,5;-0,1
2026-05-14;0;6765;5000;11765;0;10251;1515,791;1514;1,8;-22,7;-0,1
2026-05-15;0;10251;0;10251;0;8480;1780,688;1771;9,7;-13;0
2026-05-16;0;8480;5000;13480;0;11437;2008,021;2043;-35;-48;-0,2
2026-05-17;0;11437;0;11437;0;9024;2351,954;2413;-61;-109;-0,3
2026-05-18;0;9024;0;9024;0;7466;1492,259;1558;-65,7;-174,7;-0,5
2026-05-19;0;7466;5000;12466;0;10776;1620,904;1690;-69,1;-243,8;-0,7
2026-05-20;0;10776;0;10776;0;9102;1663,632;1674;-10,4;-254,2;-0,7
2026-05-21;0;9102;0;9102;0;7700;1399,145;1402;-2,9;-257,1;-0,7
2026-05-22;0;7700;5000;12700;0;10701;2038,08;1999;39,1;-218;-0,6
2026-05-23;0;10701;0;10701;0;8947;1695,819;1754;-58,2;-276,2;-0,7
2026-05-24;0;8947;0;8947;0;7232;1730,01;1715;15;-261,2;-0,6
2026-05-25;0;7232;5000;12232;0;10924;1341,258;1308;33,3;-227,9;-0,5
2026-05-26;0;10924;0;10924;0;9564;1351,823;1360;-8,2;-236,1;-0,5
2026-05-27;0;9564;0;9564;0;7934;1599,446;1630;-30,6;-266,7;-0,6
2026-05-28;0;7934;5000;12934;0;11581;1378,493;1353;25,5;-241,2;-0,5
2026-05-29;0;11581;0;11581;0;9871;1745,797;1710;35,8;-205,4;-0,4
2026-05-30;0;9871;5000;14871;0;13407;1494,159;1464;30,2;-175,2;-0,3
2026-05-31;0;13407;0;13407;0;11364;1986,598;2043;-56,4;-231,6;-0,4
Total acumulado combustível;53712,439;53944;-231,6;-3919,8;-10,9;;;;;;
Combustível: 2309 - DIESEL S 10;Tanques vinculados: 398 - 394;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;34482;20405;54887;0;37874;16946,441;17013;-66,6;-66,6;-0,2
2026-05-02;0;37874;13000;50874;0;40169;10953,358;10705;248,4;181,8;0,6
2026-05-03;0;40169;7000;47169;0;25281;22015,274;21888;127,3;309,1;0,6
2026-05-04;0;25281;30000;55281;0;30718;24535,061;24563;-28;281,1;0,4
2026-05-05;0;30718;48000;78718;0;49994;28852,886;28724;128,9;410;0,3
2026-05-06;0;49994;13000;62994;0;34474;28555,844;28520;35,9;445,9;0,1
2026-05-07;0;34474;28000;62474;0;31024;31492,293;31450;42,3;488,2;0,4
2026-05-08;0;31024;31000;62024;0;42723;19287,928;19301;-13,1;475,1;0
2026-05-09;0;42723;20000;62723;0;48129;14529,568;14594;-64,5;410,6;0,2
2026-05-10;0;48129;15000;63129;0;38563;24781,245;24566;215,3;625,9;0,2
2026-05-11;0;38563;13000;51563;0;24471;27067,15;27092;-24,8;601,1;0,2
2026-05-12;0;24471;39000;63471;0;32273;31207,251;31198;9,3;610,4;0,2
2026-05-13;0;32273;33000;65273;0;36005;29393,739;29268;125,7;736,1;0,2
2026-05-14;0;36005;26000;62005;0;30872;31118,643;31133;-14,4;721,7;0,2
2026-05-15;0;30872;28000;58872;0;33164;25591,424;25708;-116,5;605,2;0,1
2026-05-16;0;33164;18600;51764;0;37088;14547,811;14676;-128,2;477;0
2026-05-17;0;37088;25000;62088;0;34878;27075,131;27210;-134,9;342,1;0
2026-05-18;0;34878;25000;59878;0;31647;28243,932;28231;12,9;355;0,1
2026-05-19;0;31647;30000;61647;0;30165;31547,731;31482;65,8;420,8;0,1
2026-05-20;0;30165;32700;62865;0;25826;37134,167;37039;95,2;516;0,3
2026-05-21;0;25826;32700;58526;0;33212;25259,795;25314;-54,2;461,8;0,3
2026-05-22;0;33212;38500;71712;0;43862;27982,27;27850;132,2;594;0,1
2026-05-23;0;43862;15000;58862;0;42929;16038,176;15933;105,2;699,2;0,2
2026-05-24;0;42929;20000;62929;0;39154;23787,177;23775;12,2;711,4;0,2
2026-05-25;0;39154;20000;59154;0;34116;25173,166;25038;135,2;846,6;0,1
2026-05-26;0;34116;33500;67616;0;33204;34445,971;34412;33,9;880,5;0,1
2026-05-27;0;33204;30000;63204;0;23104;40101,766;40100;1,8;882,3;0,1
2026-05-28;0;23104;28500;51604;0;15684;35925,567;35920;5,5;887,8;0,1
2026-05-29;0;15684;40000;55684;0;27985;27594,492;27699;-104,5;783,3;0,1
2026-05-30;0;27985;30000;57985;0;33047;24921,928;24938;-16;767,3;0,1
2026-05-31;0;33047;40000;73047;0;45109;28047,398;27938;109,4;876,7;0,2
Total acumulado combustível;814154,583;813278;876,7;17337,4;5,6;;;;;;
Combustível: 3 - ETANOL;Tanques vinculados: 393;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;3909;5000;8909;0;8090;865,22;819;46,2;46,2;5,3
2026-05-02;0;8090;0;8090;0;7310;716,229;780;-63,8;-17,6;-1,1
2026-05-03;0;7310;0;7310;0;5082;2238,131;2228;10,1;-7,5;-0,2
2026-05-04;0;5082;0;5082;0;4415;669,993;667;3;-4,5;-0,1
2026-05-05;0;4415;5000;9415;0;8714;657,635;701;-43,4;-47,9;-0,9
2026-05-06;0;8714;0;8714;0;8090;652,282;624;28,3;-19,6;-0,3
2026-05-07;0;8090;0;8090;0;7232;843,041;858;-15;-34,6;-0,5
2026-05-08;0;7232;0;7232;0;6301;914,87;931;-16,1;-50,7;-0,7
2026-05-09;0;6301;5000;11301;0;10402;856,915;899;-42,1;-92,8;-1,1
2026-05-10;0;10402;0;10402;0;9333;1118,654;1069;49,7;-43,1;-0,5
2026-05-11;0;9333;0;9333;0;8480;891,922;853;38,9;-4,2;0
2026-05-12;0;8480;0;8480;0;7778;710,444;702;8,4;4,2;0
2026-05-13;0;7778;0;7778;0;7232;537,807;546;-8,2;-4;0
2026-05-14;0;7232;0;7232;0;6763;488,963;469;20;16;0,1
2026-05-15;0;6763;0;6763;0;5764;976,393;999;-22,6;-6,6;-0,1
2026-05-16;0;5764;5000;10764;0;9947;801,993;817;-15;-21,6;-0,2
2026-05-17;0;9947;0;9947;0;8324;1610,066;1623;-12,9;-34,5;-0,2
2026-05-18;0;8324;0;8324;0;7544;755,962;780;-24;-58,5;-0,4
2026-05-19;0;7544;0;7544;0;6921;590,196;623;-32,8;-91,3;-0,5
2026-05-20;0;6921;5000;11921;0;11437;502,541;484;18,5;-72,8;-0,4
2026-05-21;0;11437;0;11437;0;10627;834,31;810;24,3;-48,5;-0,3
2026-05-22;0;10627;0;10627;0;9487;1142,799;1140;2,8;-45,7;-0,2
2026-05-23;0;9487;0;9487;0;8714;747,41;773;-25,6;-71,3;-0,4
2026-05-24;0;8714;0;8714;0;7856;897,007;858;39;-32,3;-0,2
2026-05-25;0;7856;0;7856;0;6921;940,045;935;5;-27,3;-0,1
2026-05-26;0;6921;0;6921;0;6070;860,678;851;9,7;-17,6;-0,1
2026-05-27;0;6070;0;6070;0;5233;822,634;837;-14,4;-32;-0,1
2026-05-28;0;5233;0;5233;0;4489;766,256;744;22,3;-9,7;0
2026-05-29;0;4489;0;4489;0;3486;937,506;1003;-65,5;-75,2;-0,3
2026-05-30;0;3486;5000;8486;0;7778;647,044;708;-61;-136,2;-0,5
2026-05-31;0;7778;0;7778;0;6843;912,478;935;-22,5;-158,7;-0,6
Total acumulado combustível;26907,424;27066;-158,7;-1199,9;-4,6;;;;;;
Combustível: 7321 - ARLA A GRANEL;Tanques vinculados: 397;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;6909;0;6909;0;6136;784,385;773;11,4;11,4;1,5
2026-05-02;0;6136;3000;9136;0;8636;511,409;500;11,4;22,8;1,8
2026-05-03;0;8636;0;8636;0;7272;1320,249;1364;-43,8;-21;-0,8
2026-05-04;0;7272;0;7272;0;6181;1083,089;1091;-7,9;-28,9;-0,8
2026-05-05;0;6181;0;6181;0;5090;1075,118;1091;-15,9;-44,8;-0,9
2026-05-06;0;5090;5000;10090;0;8999;1098,512;1091;7,5;-37,3;-0,6
2026-05-07;0;8999;0;8999;0;7318;1686,739;1681;5,7;-31,6;-0,4
2026-05-08;0;7318;0;7318;0;6318;999,13;1000;-0,9;-32,5;-0,4
2026-05-09;0;6318;2500;8818;0;8227;600,678;591;9,7;-22,8;-0,2
2026-05-10;0;8227;0;8227;0;6727;1514,847;1500;14,8;-8;-0,1
2026-05-11;0;6727;0;6727;0;5181;1552,367;1546;6,4;-1,6;0
2026-05-12;0;5181;0;5181;0;3272;1875,292;1909;-33,7;-35,3;-0,3
2026-05-13;0;3272;2500;5772;0;4227;1518,069;1545;-26,9;-62,2;-0,4
2026-05-14;0;4227;0;4227;0;2772;1436,423;1455;-18,6;-80,8;-0,5
2026-05-15;0;2772;3500;6272;0;5045;1207,426;1227;-19,6;-100,4;-0,5
2026-05-16;0;5045;0;5045;0;4318;736,256;727;9,3;-91,1;-0,5
2026-05-17;0;4318;0;4318;0;3090;1242,876;1228;14,9;-76,2;-0,4
2026-05-18;0;3090;0;3090;0;2045;1050,414;1045;5,4;-70,8;-0,3
2026-05-19;0;2045;4000;6045;0;4681;1398,349;1364;34,3;-36,5;-0,2
2026-05-20;0;4681;0;4681;0;3181;1514,434;1500;14,4;-22,1;-0,1
2026-05-21;0;3181;3500;6681;0;5363;1357,802;1318;39,8;17,7;0,1
2026-05-22;0;5363;0;5363;0;3636;1733,172;1727;6,2;23,9;0,1
2026-05-23;0;3636;4000;7636;0;6999;790,396;637;153,4;177,3;0,6
2026-05-24;0;6999;0;6999;0;6045;966,469;954;12,5;189,8;0,7
2026-05-25;0;6045;0;6045;0;4681;1382,295;1364;18,3;208,1;0,7
2026-05-26;0;4681;2000;6681;0;4863;1831,37;1818;13,4;221,5;0,7
2026-05-27;0;4863;0;4863;0;2318;2564,278;2545;19,3;240,8;0,7
2026-05-28;0;2318;3500;5818;0;4045;1793,254;1773;20,3;261,1;0,7
2026-05-29;0;4045;0;4045;0;2681;1359,033;1364;-5;256,1;0,7
2026-05-30;0;2681;5000;7681;0;6545;1177,086;1136;41,1;297,2;0,8
2026-05-31;0;6545;0;6545;0;4999;1578,564;1546;32,6;329,8;0,8
Total acumulado combustível;40739,781;40410;329,8;1453,6;2,5;;;;;;
Total geral da empresa;1036836,501;1036081;755,2;11738,8;-4,1;;;;;;
Empresa: 6 - MG S - REDE DOM PEDRO DE POSTOS LTDA (DP 2);;;;;;;;;;;
Combustível: 1 - DIESEL COMUM;Tanques vinculados: 169;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;2939;10000;12939;0;8324;4543,697;4615;-71,3;-71,3;-1,6
2026-05-02;0;8324;0;8324;0;3644;2836,774;4680;-1843,2;-1914,5;-25,9
2026-05-03;0;3644;5000;8644;0;9564;1530,917;-920;2450,9;536,4;6
2026-05-04;0;9564;0;9564;0;6070;3174,895;3494;-319,1;217,3;1,8
2026-05-05;0;6070;7000;13070;0;9179;3931,085;3891;40,1;257,4;1,6
2026-05-06;0;9179;5046;14225;0;10326;4046,18;3899;147,2;404,6;2
2026-05-07;0;10326;235,8;10561,8;0;4197;5793,56;6364,8;-571,2;-166,6;-0,6
2026-05-08;0;4197;5000;9197;0;6843;2252,897;2354;-101,1;-267,7;-1
2026-05-09;0;6843;7000;13843;0;13469;981,323;374;607,3;339,6;1,2
2026-05-10;0;13469;0;13469;0;12424;2264,826;1045;1219,8;1559,4;5
2026-05-11;0;12424;0;12424;0;4784;5934,557;7640;-1705,4;-146;-0,4
2026-05-12;0;4784;5000;9784;0;3838;6206,843;5946;260,8;114,8;0,3
2026-05-13;0;3838;0;3838;0;2806;1316,308;1032;284,3;399,1;0,9
2026-05-14;0;2806;10000;12806;0;9947;2947,141;2859;88,1;487,2;1
2026-05-15;0;9947;0;9947;0;3556;5482,321;6391;-908,7;-421,5;-0,8
2026-05-16;0;3556;10000;13556;0;11437;2469,797;2119;350,8;-70,7;-0,1
2026-05-17;0;11437;0;11437;0;8168;3082,972;3269;-186;-256,7;-0,4
2026-05-18;0;8168;0;8168;0;2872;4570,215;5296;-725,8;-982,5;-1,6
2026-05-19;0;2872;8000;10872;0;6610;5409,707;4262;1147,7;165,2;0,2
2026-05-20;0;6610;5000;11610;0;6999;4539,079;4611;-71,9;93,3;0,1
2026-05-21;0;6999;5000;11999;0;8012;4268,464;3987;281,5;374,8;0,5
2026-05-22;0;8012;5000;13012;0;10776;1496,104;2236;-739,9;-365,1;-0,5
2026-05-23;0;10776;5000;15776;0;12828;2833,025;2948;-115;-480,1;-0,6
2026-05-24;0;12828;0;12828;0;12492;1303,435;336;967,4;487,3;0,6
2026-05-25;0;12492;0;12492;0;8791;3267,555;3701;-433,4;53,9;0,1
2026-05-26;0;8791;0;8791;0;2674;6008,377;6117;-108,6;-54,7;-0,1
2026-05-27;0;2674;5000;7674;0;3416;3594,407;4258;-663,6;-718,3;-0,7
2026-05-28;0;3416;5000;8416;0;5687;3538,364;2729;809,4;91,1;0,1
2026-05-29;0;5687;5000;10687;0;7934;2688,105;2753;-64,9;26,2;0
2026-05-30;0;7934;8000;15934;0;13890;1905,252;2044;-138,7;-112,5;-0,1
2026-05-31;0;13890;0;13890;0;11725;1999,992;2165;-165;-277,5;-0,3
Total acumulado combustível;106218,174;106495,8;-277,5;-698,1;-13,3;;;;;;
Combustível: 2 - GASOLINA COMUM;Tanques vinculados: 88;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;7737;0;7737;0;6100;1457,885;1637;-179,1;-179,1;-12,3
2026-05-02;0;6100;0;6100;0;4946;1139,982;1154;-14;-193,1;-7,4
2026-05-03;0;4946;0;4946;0;3736;1335,894;1210;125,9;-67,2;-1,7
2026-05-04;0;3736;0;3736;0;2124;1601,39;1612;-10,6;-77,8;-1,4
2026-05-05;0;2124;5000;7124;0;6313;957,119;811;146,1;68,3;1,1
2026-05-06;0;6313;0;6313;0;4340;1992,757;1973;19,8;88,1;1
2026-05-07;0;4340;0;4340;0;2445;1518,863;1895;-376,1;-288;-2,9
2026-05-08;0;2445;5000;7445;0;5940;1607,122;1505;102,1;-185,9;-1,6
2026-05-09;0;5940;5000;10940;0;9801;1365,402;1139;226,4;40,5;0,3
2026-05-10;0;9801;0;9801;0;8440;1165,016;1361;-196;-155,5;-1,1
2026-05-11;0;8440;0;8440;0;7178;1258,768;1262;-3,2;-158,7;-1
2026-05-12;0;7178;0;7178;0;5940;1384,413;1238;146,4;-12,3;-0,1
2026-05-13;0;5940;0;5940;0;4104;1856,916;1836;20,9;8,6;0
2026-05-14;0;4104;5000;9104;0;7972;1171,953;1132;40;48,6;0,2
2026-05-15;0;7972;0;7972;0;6260;1411,672;1712;-300,3;-251,7;-1,2
2026-05-16;0;6260;0;6260;0;4784;1448,834;1476;-27,2;-278,9;-1,2
2026-05-17;0;4784;0;4784;0;3540;1231,784;1244;-12,2;-291,1;-1,2
2026-05-18;0;3540;0;3540;0;2030;1412,564;1510;-97,4;-388,5;-1,5
2026-05-19;0;2030;5052,427;7082,427;0;6459;1048,629;623,427;425,2;36,7;0,1
2026-05-20;0;6459;0;6459;0;4517;1798,141;1942;-143,9;-107,2;-0,4
2026-05-21;0;4517;5007,704;9524,704;0;7737;1591,251;1787,704;-196,5;-303,7;-1
2026-05-22;0;7737;0;7737;0;6419;1402,794;1318;84,8;-218,9;-0,7
2026-05-23;0;6419;0;6419;0;4946;1440,02;1473;-33;-251,9;-0,8
2026-05-24;0;4946;0;4946;0;3840;1237,33;1106;131,3;-120,6;-0,4
2026-05-25;0;3840;5000;8840;0;7637;1396,505;1203;193,5;72,9;0,2
2026-05-26;0;7637;0;7637;0;6459;1161,191;1178;-16,8;56,1;0,2
2026-05-27;0;6459;0;6459;0;4410;1672,241;2049;-376,8;-320,7;-0,8
2026-05-28;0;4410;5000;9410;0;8440;1468,759;970;498,8;178,1;0,5
2026-05-29;0;8440;0;8440;0;6932;1438,154;1508;-69,8;108,3;0,3
2026-05-30;0;6932;0;6932;0;4946;1164,962;1986;-821;-712,7;-1,7
2026-05-31;0;4946;5000;9946;0;9270;1071,483;676;395,5;-317,2;-0,7
Total acumulado combustível;43209,794;43527,131;-317,2;-4174,5;-37,2;;;;;;
Combustível: 2309 - DIESEL S 10;Tanques vinculados: 89 - 168 - 98;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;27431;28845,69;56276,69;0;30151;25472,442;26125,69;-653,3;-653,3;17,9
2026-05-02;0;30151;20400;50551;0;29339;18614,297;21212;-2597,7;-3251;-161,9
2026-05-03;0;29339;20000;49339;0;45025;9123,887;4314;4809,9;1558,9;15
2026-05-04;0;45025;10000;55025;0;37297;18112,187;17728;384,2;1943,1;-1,9
2026-05-05;0;37297;20000;57297;0;33118;24016,282;24179;-162,8;1780,3;3,7
2026-05-06;0;33118;30000;63118;0;30973;31597,132;32145;-547,9;1232,4;12,9
2026-05-07;0;30973;25000;55973;0;21784;31966,346;34189;-2222,6;-990,2;-6,7
2026-05-08;0;21784;39001,91;60785,91;0;28495;31764,891;32290,91;-526;-1516,2;-6,1
2026-05-09;0;28495;20000;48495;0;29108;23677,535;19387;4290,5;2774,3;1,8
2026-05-10;0;29108;25000;54108;0;36966;14560,314;17142;-2581,7;192,6;6,4
2026-05-11;0;36966;10000;46966;0;26679;22059,685;20287;1772,7;1965,3;5,8
2026-05-12;0;26679;28500;55179;0;27640;27376,22;27539;-162,8;1802,5;4,2
2026-05-13;0;27640;27750;55390;0;17898;37616,508;37492;124,5;1927;4,2
2026-05-14;0;17898;45000;62898;0;30569;31036,083;32329;-1292,9;634,1;4,4
2026-05-15;0;30569;31000;61569;0;24434;34325,254;37135;-2809,7;-2175,6;-3,2
2026-05-16;0;24434;33100,011;57534,011;0;37706;22175,748;19828,011;2347,8;172,2;4,7
2026-05-17;0;37706;15000;52706;0;34354;18277,728;18352;-74,3;97,9;-1
2026-05-18;0;34354;15000;49354;0;26983;21999,869;22371;-371,1;-273,2;4,3
2026-05-19;0;26983;18500;45483;0;26771;20651,707;18712;1939,6;1666,4;5,2
2026-05-20;0;26771;20000;46771;0;20200;26765,077;26571;194,1;1860,5;5,2
2026-05-21;0;20200;30134;50334;0;23891;27506,57;26443;1063,5;2924;-0,5
2026-05-22;0;23891;33000;56891;0;20660;32409,304;36231;-3821,6;-897,6;-1,7
2026-05-23;0;20660;30000;50660;0;28169;24269,253;22491;1778,3;880,7;5,3
2026-05-24;0;28169;10000;38169;0;25939;13757,015;12230;1527,1;2407,8;5,4
2026-05-25;0;25939;17000;42939;0;21673;20247,224;21266;-1018,8;1389;5,6
2026-05-26;0;21673;21000;42673;0;15489;27170,517;27184;-13,4;1375,6;-1,8
2026-05-27;0;15489;30000;45489;0;21599;20996,58;23890;-2893,4;-1517,8;-1,5
2026-05-28;0;21599;35000;56599;0;36231;24303,591;20368;3935,6;2417,8;4,2
2026-05-29;0;36231;20000;56231;0;24406;30949,171;31825;-875,8;1542;-0,8
2026-05-30;0;24406;33000;57406;0;31936;23332,968;25470;-2137,1;-595,1;4,1
2026-05-31;0;31936;18500;50436;0;36605;14111,155;13831;280,2;-314,9;4,3
Total acumulado combustível;750242,54;750557,611;-314,9;20359,5;-62,5;;;;;;
Combustível: 3 - ETANOL;Tanques vinculados: 87;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
Data;Med.;Litragem;Entrada;Estoque;Med.;Litragem;Bombas;Tanque;Diferença;Acumulado;Diferença Acum.
2026-05-01;0;2265;5000;7265;0;6984;352,405;281;71,4;71,4;20,3
2026-05-02;0;6984;0;6984;0;6828;233,627;156;77,6;149;25,4
2026-05-03;0;6828;0;6828;0;6565;332,384;263;69,4;218,4;23,8
2026-05-04;0;6565;0;6565;0;6260;339,511;305;34,5;252,9;20,1
2026-05-05;0;6260;0;6260;0;5940;440,437;320;120,4;373,3;22
2026-05-06;0;5940;0;5940;0;5147;665,114;793;-127,9;245,4;10,4
2026-05-07;0;5147;0;5147;0;4317;556,34;830;-273,7;-28,3;-1
2026-05-08;0;4317;0;4317;0;3893;460,785;424;36,8;8,5;0,3
2026-05-09;0;3893;5000;8893;0;8896;434,182;-3;437,2;445,7;11,7
2026-05-10;0;8896;0;8896;0;8487;415,269;409;6,3;452;10,7
2026-05-11;0;8487;0;8487;0;7687;475,936;800;-324,1;127,9;2,7
2026-05-12;0;7687;0;7687;0;7586;275,515;101;174,5;302,4;6,1
2026-05-13;0;7586;0;7586;0;7485;224,562;101;123,6;426;8,2
2026-05-14;0;7485;0;7485;0;7036;349,182;449;-99,8;326,2;5,9
2026-05-15;0;7036;0;7036;0;6459;366,828;577;-210,2;116;2
2026-05-16;0;6459;0;6459;0;6260;240,83;199;41,8;157,8;2,6
2026-05-17;0;6260;0;6260;0;5886;232,121;374;-141,9;15,9;0,2
2026-05-18;0;5886;0;5886;0;5416;420,419;470;-49,6;-33,7;-0,5
2026-05-19;0;5416;0;5416;0;5416;371,452;0;371,5;337,8;4,7
2026-05-20;0;5416;0;5416;0;4892;468,279;524;-55,7;282,1;3,7
2026-05-21;0;4892;0;4892;0;4210;549,634;682;-132,4;149,7;1,8
2026-05-22;0;4210;0;4210;0;3540;376,889;670;-293,1;-143,4;-1,7
2026-05-23;0;3540;0;3540;0;3333;176,618;207;-30,4;-173,8;-2
2026-05-24;0;3333;0;3333;0;2839;508,346;494;14,3;-159,5;-1,7
2026-05-25;0;2839;0;2839;0;2361;632,669;478;154,7;-4,8;0
2026-05-26;0;2361;5000;7361;0;7485;271,205;-124;395,2;390,4;3,8
2026-05-27;0;7485;0;7485;0;6775;452,578;710;-257,4;133;1,3
2026-05-28;0;6775;0;6775;0;6459;531,432;316;215,4;348,4;3,1
2026-05-29;0;6459;0;6459;0;5886;491,656;573;-81,3;267,1;2,3
2026-05-30;0;5886;0;5886;0;5147;454,881;739;-284,1;-17;-0,1
2026-05-31;0;5147;0;5147;0;4892;176,099;255;-78,9;-95,9;-0,8
Total acumulado combustível;12277,185;12373;-95,9;4940,9;185,3;;;;;;
Combustível: 7321 - ARLA A GRANEL;Tanques vinculados: 82;;;;;;;;;;
;Inicial;;;Final;Saída;Saída;;;;;
